+---------------------------------------------------------------------+---------+----------+
|                                                                     |   axis  |  class   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_12.tif | (17,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_13.tif | (17,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_14.tif | (17,14) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_15.tif | (17,15) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_16.tif | (17,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_17.tif | (17,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_18.tif | (17,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_19.tif | (17,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_2.tif |  (17,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_20.tif | (17,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_21.tif | (17,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_22.tif | (17,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_23.tif | (17,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_24.tif | (17,24) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_25.tif | (17,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_26.tif | (17,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_27.tif | (17,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_28.tif | (17,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_29.tif | (17,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_3.tif |  (17,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_30.tif | (17,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_31.tif | (17,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_4.tif |  (17,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_5.tif |  (17,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_6.tif |  (17,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_7.tif |  (17,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_8.tif |  (17,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_17_9.tif |  (17,9) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_0.tif |  (18,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_1.tif |  (18,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_10.tif | (18,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_11.tif | (18,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_12.tif | (18,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_13.tif | (18,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_14.tif | (18,14) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_15.tif | (18,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_16.tif | (18,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_17.tif | (18,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_18.tif | (18,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_19.tif | (18,19) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_2.tif |  (18,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_20.tif | (18,20) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_21.tif | (18,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_22.tif | (18,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_23.tif | (18,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_24.tif | (18,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_25.tif | (18,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_26.tif | (18,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_27.tif | (18,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_28.tif | (18,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_29.tif | (18,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_3.tif |  (18,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_30.tif | (18,30) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_31.tif | (18,31) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_4.tif |  (18,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_5.tif |  (18,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_6.tif |  (18,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_7.tif |  (18,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_8.tif |  (18,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_18_9.tif |  (18,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_0.tif |  (19,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_1.tif |  (19,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_10.tif | (19,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_11.tif | (19,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_12.tif | (19,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_13.tif | (19,13) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_14.tif | (19,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_15.tif | (19,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_16.tif | (19,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_17.tif | (19,17) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_18.tif | (19,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_19.tif | (19,19) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_2.tif |  (19,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_20.tif | (19,20) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_21.tif | (19,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_22.tif | (19,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_23.tif | (19,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_24.tif | (19,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_25.tif | (19,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_26.tif | (19,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_27.tif | (19,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_28.tif | (19,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_29.tif | (19,29) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_3.tif |  (19,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_30.tif | (19,30) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_31.tif | (19,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_4.tif |  (19,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_5.tif |  (19,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_6.tif |  (19,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_7.tif |  (19,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_8.tif |  (19,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_19_9.tif |  (19,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_0.tif  |  (1,0)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_1.tif  |  (1,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_10.tif |  (1,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_11.tif |  (1,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_12.tif |  (1,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_13.tif |  (1,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_14.tif |  (1,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_15.tif |  (1,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_16.tif |  (1,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_17.tif |  (1,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_18.tif |  (1,18) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_19.tif |  (1,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_2.tif  |  (1,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_20.tif |  (1,20) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_21.tif |  (1,21) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_22.tif |  (1,22) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_23.tif |  (1,23) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_24.tif |  (1,24) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_25.tif |  (1,25) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_26.tif |  (1,26) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_27.tif |  (1,27) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_28.tif |  (1,28) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_29.tif |  (1,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_3.tif  |  (1,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_30.tif |  (1,30) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_31.tif |  (1,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_4.tif  |  (1,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_5.tif  |  (1,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_6.tif  |  (1,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_7.tif  |  (1,7)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_8.tif  |  (1,8)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_1_9.tif  |  (1,9)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_0.tif |  (20,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_1.tif |  (20,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_10.tif | (20,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_11.tif | (20,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_12.tif | (20,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_13.tif | (20,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_14.tif | (20,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_15.tif | (20,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_16.tif | (20,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_17.tif | (20,17) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_18.tif | (20,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_19.tif | (20,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_2.tif |  (20,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_20.tif | (20,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_21.tif | (20,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_22.tif | (20,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_23.tif | (20,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_24.tif | (20,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_25.tif | (20,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_26.tif | (20,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_27.tif | (20,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_28.tif | (20,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_29.tif | (20,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_3.tif |  (20,3) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_30.tif | (20,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_31.tif | (20,31) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_4.tif |  (20,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_5.tif |  (20,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_6.tif |  (20,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_7.tif |  (20,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_8.tif |  (20,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_20_9.tif |  (20,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_0.tif |  (21,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_1.tif |  (21,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_10.tif | (21,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_11.tif | (21,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_12.tif | (21,12) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_13.tif | (21,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_14.tif | (21,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_15.tif | (21,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_16.tif | (21,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_17.tif | (21,17) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_18.tif | (21,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_19.tif | (21,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_2.tif |  (21,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_20.tif | (21,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_21.tif | (21,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_22.tif | (21,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_23.tif | (21,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_24.tif | (21,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_25.tif | (21,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_26.tif | (21,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_27.tif | (21,27) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_28.tif | (21,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_29.tif | (21,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_3.tif |  (21,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_30.tif | (21,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_31.tif | (21,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_4.tif |  (21,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_5.tif |  (21,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_6.tif |  (21,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_7.tif |  (21,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_8.tif |  (21,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_21_9.tif |  (21,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_0.tif |  (22,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_1.tif |  (22,1) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_10.tif | (22,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_11.tif | (22,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_12.tif | (22,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_13.tif | (22,13) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_14.tif | (22,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_15.tif | (22,15) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_16.tif | (22,16) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_17.tif | (22,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_18.tif | (22,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_19.tif | (22,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_2.tif |  (22,2) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_20.tif | (22,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_21.tif | (22,21) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_22.tif | (22,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_23.tif | (22,23) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_24.tif | (22,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_25.tif | (22,25) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_26.tif | (22,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_27.tif | (22,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_28.tif | (22,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_29.tif | (22,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_3.tif |  (22,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_30.tif | (22,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_31.tif | (22,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_4.tif |  (22,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_5.tif |  (22,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_6.tif |  (22,6) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_7.tif |  (22,7) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_8.tif |  (22,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_22_9.tif |  (22,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_0.tif |  (23,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_1.tif |  (23,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_10.tif | (23,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_11.tif | (23,11) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_12.tif | (23,12) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_13.tif | (23,13) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_14.tif | (23,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_15.tif | (23,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_16.tif | (23,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_17.tif | (23,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_18.tif | (23,18) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_19.tif | (23,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_2.tif |  (23,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_20.tif | (23,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_21.tif | (23,21) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_22.tif | (23,22) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_23.tif | (23,23) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_24.tif | (23,24) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_25.tif | (23,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_26.tif | (23,26) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_27.tif | (23,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_28.tif | (23,28) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_29.tif | (23,29) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_3.tif |  (23,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_30.tif | (23,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_31.tif | (23,31) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_4.tif |  (23,4) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_5.tif |  (23,5) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_6.tif |  (23,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_7.tif |  (23,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_8.tif |  (23,8) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_23_9.tif |  (23,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_0.tif |  (24,0) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_1.tif |  (24,1) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_10.tif | (24,10) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_11.tif | (24,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_12.tif | (24,12) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_13.tif | (24,13) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_14.tif | (24,14) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_24_15.tif | (24,15) |  meadow  |
